Name, Distance (km), Region, ____, Difficulty, _____ ,Season, Time(hours) 
name, distance, region, grade, difficulty, rating

[ "Admiralty Point", 5, "Tri Cities", 1, 0 ],
[ "Al's Habrich Ridge Trail", 7, "Howe Sound", 2, 0 ],
[ "Aldergrove Regional Park", 5, "Surrey and Langley", 1, 0 ],
[ "Alice Lake", 6, "Howe Sound", 1, 0 ],
[ "Ancient Cedars Trail", 5, "Whistler", 2, 0 ],
[ "Baden Powell Deep Cove to Lynn Canyon", 12, "The North Shore", 2,  0 ],
[ "Baden Powell Lynn Canyon to Grouse", 10, "The North Shore", 2, 0 ],
[ "BCMC Trail", 3, "The North Shore",3, 0 ],
[ "Big Cedar and Kennedy Falls Trail", 10,"The North Shore", 2, 0 ],
[ "Black Tusk", 29, "Whistler", 3, 0 ],
[ "Blackcomb Meadows", 8, "Whistler, 2, 0 ],
[ "Boundary Bay Regional Park", 5, "Tsawwassen and Delta", 1, 0 ],
[ "Brae Island Regional Park", 4.2, "Surrey and Langley", 1, 0 ],
[ "Brandywine Falls", 1, "Whistler", 1, 0 ],
[ "Brandywine Meadows", 6, "Whistler", 3, 0 ],
[ "Bridal Veil Falls", 0.8, "Fraser Valley East", 1, 0 ],
[ "Brohm Lake", 7.5, "Howe Sound", 2, 0 ],
[ "Brothers Creek Loop", 7, "The North Shore", 2, 0 ],
[ "Brunswick Point", 8, "Tsawwassen and Delta", 1, 0 ],
[ "Buntzen Lake", 8, "Tri Cities", 1, 0 ],
[ "Burnaby Lake", 10, "Vancouver City", 1, 0 ],
[ "Burnaby Mountain", 7.5, "Vancouver City", 1, 0 ],
[ "Burns Bog Delta Nature Reserve", 3, "Tsawwassen and Delta", 1, 0 ],
[ "Campbell Valley Regional Park", 4, "Surrey and Langley", 1, 0 ],
[ "Capilano Canyon", 2.6, "The North Shore", 1, 0 ],
[ "Capilano Pacific Trail", 15, "The North Shore", 1, 0 ],
[ "Cascade Falls", 0.75, "Fraser Valley East", 1, 0 ],
[ "Cheakamus Lake", 16, "Whistler", 1, 0 ],
[ "Cheam Lake Wetlands", 2.3, "Fraser Valley East", 1, 0 ],
[ "Conflict Lake", 12, "Whistler", 2, 0 ],
[ "Coquitlam Crunch", 4.5, "Tri Cities", 2, 0 ],
[ "Crown Mountain", 9.8, "The North Shore", 3, 0 ],
[ "Crystal Falls", 7, "Tri Cities", 1, 0 ],
[ "Cypress Falls", 3, "The North Shore", 1, 0 ],
[ "Dam Mountain", 5, "The North Shore", 1, 0 ],
[ "Deas Island Regional Park", 4.5, "Tsawwassen and Delta", 1, 0 ],
[ "Deer Lake", 5, "Vancouver City", 1, 0 ],
[ "Derby Reach Regional Park", 8, "Surrey and Langley", 1, 0 ],
[ "Dilly Dally Loop", 25, "Tri Cities", 3, 0 ],
[ "Dog Mountain", 5, "The North Shore", 1, 0 ],
[ "Eagle Bluffs", 8, "The North Shore", 2, 0 ],
[ "Elfin Lakes", 22, "Howe Sound", 2, 0 ],
[ "Elk Mountain", 7, "Fraser Valley East", 2, 0 ],
[ "Garibaldi Lake", 18, "Whistler", 2, 0 ],
[ "Goat Mountain", 8, "The North Shore", 2, 0 ],
[ "Gold Creek Falls", 5.5, "Ridge Meadows", 1, 0 ],
[ "Golden Ears", 24, "Ridge Meadows", 3, 0 ],
[ "Goldie Lake", 3, "The North Shore", 1, 0 ],
[ "Grouse Grind", 2.9, "The North Shore", 3, 0 ],
[ "Hanes Valley Trail", 16, "The North Shore", 3, 0 ],
[ "Harrison Grind", 7, "Fraser Valley East", 3, 0 ],
[ "Hayward Lake", 17, "Fraser Valley East", 1, 0 ],
[ "Hicks Lake", 6, "Fraser Valley East", 1, 0 ],
[ "High Falls Creek", 12, "Howe Sound", 2, 0 ],
[ "High Note Trail", 9.5, "Whistler", 2, 0 ],
[ "Hollyburn Mountain", 7, "The North Shore", 2, 0 ],
[ "Iona Beach Regional Park", 6, "Vancouver City", 1, 0 ],
[ "Joffre Lakes", 11, "Pemberton", 2, 0 ],
[ "Jug Island Beach", 5.5, "Tri Cities", 2, 0 ],
[ "Kanaka Creek Cliff Falls", 4, "Ridge Meadows", 1, 0 ],
[ "Kanaka Creek Riverfront", 2.5, "Ridge Meadows", 1, 0 ],
[ "Killarney Lake", 9, "Howe Sound", 1, 0 ],
[ "Levette Lake Loop", 11, "Howe Sound", 2, 0 ],
[ "Lighthouse Park", 6, "The North Shore", 1, 0 ],
[ "Lindeman Lake", 3.4, "Fraser Valley East", 2, 0 ],
[ "Lions Bay Loop", 4.5, "Howe Sound", 1, 0 ],
[ "Little Goat Mountain", 5.5, "The North Shore", 1, 0 ],
[ "Lost Lake Nature Trail", 5, "Whistler", 1, 0 ],
[ "Lower Hollyburn", 10, "The North Shore", 2, 0 ],
[ "Lynn Loop", 5.1, "The North Shore", 1, 0 ],
